Month-Year,Total Deaths
2018-01,9
2018-02,6
2018-03,9
2018-04,7
2018-05,11
2018-06,9
2018-07,9
2018-08,10
2018-09,13
2018-10,10
2018-11,16
2018-12,11
2019-01,7
2019-02,10
2019-03,8
2019-04,5
2019-05,9
2019-06,12
2019-07,8
2019-08,4
2019-09,4
2019-10,9
2019-11,8
2019-12,9
2020-01,6
2020-02,7
2020-03,19
2020-04,7
2020-05,8
2020-06,7
2020-07,10
2020-08,9
2020-09,7
2020-10,11
2020-11,9
2020-12,16
2021-01,10
2021-02,6
2021-03,10
2021-04,9
2021-05,10
2021-06,4
2021-07,5
2021-08,7
2021-09,11
2021-10,9
2021-11,13
2021-12,6
2022-01,14
2022-02,10
2022-03,5
2022-04,11
2022-05,8
2022-06,13
2022-07,17
2022-08,17
2022-09,11
2022-10,17
2022-11,9
2022-12,9
2023-01,9
2023-02,8
2023-03,10
2023-04,10
2023-05,14
2023-06,15
2023-07,14
2023-08,16
2023-09,12
2023-10,8
2023-11,9
2023-12,8
2024-01,25
